ISBN,Title,Author,Year-Of-Publication,Publisher
0446603856,The Enemy Within,Larry Bond,1997,Warner Books
0684852047,SPENDING: A Novel,Mary Gordon,1999,Scribner
0812589041,Ender's Game,Orson Scott Card,1999,Tor Books
1588720020,Crossing Over,John Edward,2001,John Edward (HAYLO)
0060198125,Coastliners : A Novel,Joanne Harris,2002,William Morrow
0345452569,A Cold Heart (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2003,Ballantine Books
0061091464,The Thief of Always,Clive Barker,1993,HarperTorch
0385497520,The Child in Time,Ian McEwan,1999,Anchor Books/Doubleday
0486284670,Room With a View (Dover Thrift Edition),Foester. E.M.,1995,Dover Publications
0670825379,The Satanic Verses,Salman Rushdie,1989,Viking Books
0449217191,The Edge,Dick Francis,1990,Fawcett Books
0440127793,Galapagos,"Kurt, Jr. Vonnegut",1986,Dell
0156106809,The Baron in the Trees,Italo Calvino,1977,Harcourt
0765108674,"Politically Correct, the Ultimate Storybook: Politically Correct Bedtime Stories, Once upon a More Enlightened Time, and Politically Correct Holiday Stories",James Finn Garner,1998,Smithmark Publishers
0385502532,Drowning Ruth,Christina Schwarz,2000,Doubleday
0743236742,The Ultimate Weight Solution: The 7 Keys to Weight Loss Freedom,Phil McGraw,2003,Free Press
1400060737,The Birth of Venus,Sarah Dunant,2004,Random House
0375413596,The White,Deborah Larsen,2002,Alfred A. Knopf
034543739X,Until the Real Thing Comes Along (Ballantine Reader's Circle),ELIZABETH BERG,2000,Ballantine Books
0553268937,The Water Is Wide,PAT CONROY,1987,Bantam
0060192704,"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",Judy Sheindlin,1999,Cliff Street Books
0684835975,We'll Meet Again,Mary Higgins Clark,1999,Simon &amp; Schuster
0380722704,Charms for Easy Life,Kaye Gibbons,1994,Avon
0553114271,Scarlatti Inheritance,Robert Ludlum,1982,Bantam Doubleday Dell
0553263226,The Bourne Supremacy,Robert Ludlum,1987,Bantam
0671525425,Heaven,V.C. Andrews,1985,Pocket
0373218397,Summer Pleasures,Nora Roberts,2002,Silhouette
0373441614,Cooking Up Trouble / Kiss the Cook,Molly O'Keefe,2003,Harlequin
050552533X,Traveler (Wildside Romance),Melanie Jackson,2003,Love Spell
0060934425,"The Binding Chair : or, A Visit from the Foot Emancipation Society",Kathryn Harrison,2001,Perennial
0425179885,The Devil's Code,John Sandford,2004,Berkley Publishing Group
0020442203,"Lion, the Witch and the Wardrobe",C.S. Lewis,1970,MacMillan Publishing Company.
0553211374,Persuasion,Jane Austen,1984,Bantam Books
0553204572,All Things Wise and Wonderful,James Herriot,1981,Bantam Doubleday Dell
0425175111,A Stitch in Time (Needlecraft Mysteries),Monica Ferris,2000,Prime Crime
0671001132,DEAD BY SUNSET : DEAD BY SUNSET,Ann Rule,1996,Pocket
0671793535,A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files),Ann Rule,1993,Pocket
0671868691,Bitter Harvest,Ann Rule,1999,Pocket
0671793543,You Belong to Me and Other True Cases (Ann Rule's Crime Files: Vol. 2),Ann Rule,1994,Pocket
0671025341,"A Rage To Kill and Other True Cases : Anne Rule's Crime Files, Vol. 6 (Ann Rule's Crime Files)",Ann Rule,1999,Pocket
0446601977,Parable of the Sower,Octavia E. Butler,1995,Warner Books
0393307050,Master and Commander (Aubrey-Maturin (Paperback)),Patrick O'Brian,1990,W. W. Norton &amp; Company
0452282934,Backpack,Emily Barr,2002,Plume Books
0375414053,"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother",Allison Pearson,2002,Alfred A. Knopf
0312868855,Hell House,Richard Matheson,1999,Tor Books
0441001971,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books
0684810395,Pretend You Don't See Her,Mary Higgins Clark,1997,Simon &amp; Schuster
0399143874,Homeport,Nora Roberts,1998,Putnam Publishing Group
0070064601,Family: The Ties That Bind and Gag!,Erma Bombeck,1987,McGraw-Hill Companies
0373218419,Blithe Images,Nora Roberts,2003,Silhouette
0440222842,Five Days in Paris,DANIELLE STEEL,1997,Dell
0399141227,Montana Sky,Nora Roberts,1996,Putnam Publishing Group
3548359698,Warum M�?¤nner nicht zuh�?¶ren und Frauen schlecht einparken.,Allan Pease,2000,Ullstein Tb
0553379011,The Story of B,DANIEL QUINN,1997,Bantam
0385319851,At Weddings and Wakes,Alice McDermott,1999,Delta Trade Paperbacks
0440418321,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2001,Yearling
0316789976,The Weight of Water : A Novel Tag - Author of Resistance and Strange Fits of Passion,Anita Shreve,1997,"Little, Brown"
0671519816,Inca Gold (Clive Cussler),Clive Cussler,1995,Pocket
042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
0061097861,Hunting Badger (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,2000,HarperCollins
0446609145,Void Moon,Michael Connelly,2001,Warner Vision
0553575406,Murder on the Prowl,RITA MAE BROWN,1999,Bantam
0380797631,Last Days of Summer,Steve Kluger,1999,Perennial
0553213237,A Room With a View (Classic),E. M. Forster,1988,Bantam
0679433740,Paradise,Toni Morrison,1998,Alfred A. Knopf
0375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,1997,Vintage Books
0451523326,Jane Eyre,Charlotte Bronte,1988,Signet Classics
038079439X,Expendable,James Alan Gardner,1999,Eos
0451402391,The Search for the Green River Killer,Carlton Smith,1991,Onyx Books
0525945814,Falling Angels,Tracy Chevalier,2001,Dutton Books
0060934913,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,2001,Ecco
0899193625,"The Beans of Egypt, Maine",Carolyn Chute,1985,Ticknor &amp; Fields
0679736042,Toujours Provence (Vintage Departures),Peter Mayle,1992,Vintage Books USA
0156005891,Eden Close,Anita Shreve,1998,Harvest Books
076790592X,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,2002,Broadway
0618526412,The Heart Is a Lonely Hunter (Oprah's Book Club),Carson McCullers,2004,Houghton Mifflin Co
0060652934,The Screwtape Letters,C. S. Lewis,2001,Harper SanFrancisco
0688174035,More Than You Know: A Novel,Beth Gutcheon,2000,William Morrow &amp; Company
0670032891,The Well of Lost Plots: A Thursday Next Novel,Jasper Fforde,2004,Viking Books
1931520003,Stranger Things Happen,Kelly Link,2001,Small Beer Press
0449216411,Legacy,James A. Michener,1990,Fawcett Books
0380807939,A Season Beyond a Kiss,Kathleen E. Woodiwiss,2000,Avon Trade
0446602736,Border Music,Robert James Waller,1996,Warner Books
0446360589,The Burden of Proof,Scott Turow,1991,Warner Books
0385315090,Mirror Image,Danielle Steel,1998,Delacorte Press
0385311923,Lightning,DANIELLE STEEL,1995,Delacorte Press
0440500729,Star,Danielle Steel,1989,Delacorte Press
0385297661,Daddy,Danielle Steel,1989,Delacorte Press
0385306024,Accident,Danielle Steel,1994,Delacorte Press
0345362721,Peachtree Road,Anne Rivers Siddons,1989,Ballantine Books
0446802204,Master of the Game,Sidney Sheldon,1983,Not Avail
0446329894,If Tomorrow Comes,Sidney Sheldon,1986,Warner Books> C/o Little Br
0786889551,The Pied Piper,Ridley Pearson,1999,Hyperion
0312923856,Probable Cause,Ridley Pearson,1992,St. Martin's Press
0786889667,The First Victim,Ridley Pearson,2000,Hyperion
044023574X,After the Fire,Belva Plain,2001,Dell Publishing Company
0553580221,False Memory,Dean R. Koontz,2000,Bantam Books
0679781358,The Hottest State,Ethan Hawke,1997,Vintage Books USA
0553272616,The Unloved,John Saul,1988,Bantam Books
0743427084,How to Practice : The Way to a Meaningful Life,The Dalai Lama,2001,Atria
0385492677,"The Accidental Buddhist: Mindfulness, Enlightenment, and Sitting Still, American Style",Dinty W. Moore,1999,Main Street Books
0345333810,No Word from Winifred (Kate Fansler Novels (Paperback)),AMANDA CROSS,1987,Fawcett
0449212750,Murder in the CIA (Capital Crime Mysteries),Margaret Truman,1991,Fawcett Books
0425127230,Stardust,Robert B. Parker,1996,Berkley Publishing Group
0671884298,"A LITTLE YELLOW DOG : Featuring an Original Easy Rawlins Short Story \Gray-Eyed Death\"" (Easy Rawlins Mysteries (Paperback))""",Walter Mosley,1997,Pocket
0399139087,Second Nature,Alice Hoffman,1994,Putnam Pub Group
0064471047,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,1994,HarperCollins
0060191538,"Perfect Murder, Perfect Town",Lawrence Schiller,1999,Harpercollins
0425166929,One Last Time: A Psychic Medium Speaks to Those We Have Loved and Lost,John Edward,2000,Berkley Publishing Group
0312958129,Coming Home,Rosamunde Pilcher,1996,St. Martin's Press
0385336314,Dating Game,Danielle Steel,2003,Delacorte Press
0590477331,Mr. Popper's Penguins,Richard Atwater,0,Scholastic Inc
0345368754,Foucault's Pendulum,Umberto Eco,1990,Ballantine Books
0553213164,Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1983,Bantam Classics
0446603929,See How They Run,James Patterson,1997,Warner Books
0553213180,Anne's House of Dreams,L.M. MONTGOMERY,1983,Bantam Classics
0671745085,ROAD TO NOWHERE : ROAD TO NOWHERE,Christopher Pike,1993,Simon Pulse
0440177049,Season of Passion,Danielle Steel,1980,Dell
0446518581,Border Music,Robert James Waller,1995,Warner Books
0971181802,E-Wally and the Quest,Judy Shasek,2001,Inventeam Llc
0380712040,Black Cherry Blues: A Dave Robicheaux Novel,James Lee Burke,1990,Avon
0743225724,Good Harbor: A Novel,Anita Diamant,2002,Scribner
0375756981,The Vagina Monologues: The V-Day Edition,Eve Ensler,2000,Villard Books
0140440372,The Last Days of Socrates,Plato,1954,Penguin/Puffin Mass Market
0140258795,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,1996,Penguin Books
067972754X,Dictionary of the Khazars (F) (Vintage International),MILORAD PAVIC,1989,Vintage
0385500696,The Fortress of Solitude : A Novel,JONATHAN LETHEM,2003,Doubleday
0385509472,Diary: A Novel,Chuck Palahniuk,2003,Doubleday
0060988649,Lost: A Novel,Gregory Maguire,2002,Regan Books
0380725711,"Say You Love Me (Malory, No. 5)",Johanna Lindsey,1997,Avon
0595256368,Rhaeva,Linda Moore,2003,Writer's Showcase Press
0061099708,Colony,Anne Rivers Siddons,1993,HarperTorch
0425182886,Pot Shot,Robert B. Parker,2002,Berkley Publishing Group
0425179559,Hugger Mugger,Robert B. Parker,2001,Berkley Publishing Group
0425174018,Hush Money (Spenser Mysteries),Robert B. Parker,2000,Berkley Publishing Group
0425157474,Chance,Robert B. Parker,1997,Berkley Publishing Group
0425152901,Thin Air,Robert B. Parker,1996,Berkley Publishing Group
0425147746,Walking Shadow,Robert B. Parker,1996,Berkley Publishing Group
0425141551,Paper Doll,Robert B. Parker,1996,Berkley Publishing Group
0425137937,Double Deuce,Robert B. Parker,1993,Berkley Publishing Group
0425132935,Pastime,Robert B. Parker,1996,Berkley Publishing Group
0425120015,Playmates,Robert B. Parker,1996,Berkley Publishing Group
0440200040,Pale Kings and Princes,Robert B. Parker,1988,Dell
0440188415,Taming a Sea-Horse,Robert B. Parker,1987,Dell Publishing Company
0440111323,A Catskill Eagle,Robert B. Parker,1993,Dell Publishing Company
0440109930,Ceremony,ROBERT PARKER,1992,Dell
0440122147,Early Autumn,Robert B. Parker,1992,Dell Publishing Company
0340750626,The Evidence Exposed,Elizabeth George,1999,Not Avail
0440129613,The Godwulf Manuscript,Robert B. Parker,1996,Dell Publishing Company
0385302304,Outlander,DIANA GABALDON,1991,Delacorte Press
0515117234,Wild Horses,Dick Francis,1995,Jove Books
0452281881,e,Matt Beaumont,2000,Plume Books
0060163747,Return to Love: Reflections on the Principles of a Course in Miracles,Marianne Williamson,1992,Harpercollins
0684195488,Accordion Crimes,E. Annie Proulx,1996,Scribner
0440220424,Having Our Say : The Delany Sisters' First 100 Years,SARAH L. DELANY,1994,Dell
074321689X,Call Me Crazy : A Memoir (Lisa Drew Books (Hardcover)),Anne Heche,2001,Scribner
0871134799,Suicide Blonde,Darcey Steinke,1992,Pub Group West
0689817851,Go Ask Alice,Anonymous,1998,Simon Pulse
006105691X,Maskerade (Discworld Novels (Paperback)),Terry Pratchett,1998,HarperTorch
0553574604,Icon,Frederick Forsyth,1997,Bantam Books
0373250207,Fishbowl (Red Dress Ink (Paperback)),Sarah Mlynowski,2002,Red Dress Ink
0671003941,JOURNEY INTO DARKNESS (Lisa Drew Books (Paperback)),John E. Douglas,1997,Pocket
0802131786,Tropic of Cancer,Henry Miller,1987,Grove Press
082175856X,Sara's Song,Fern Michaels,1998,Zebra Books
0821772341,Kentucky Rich,Fern Michaels,2002,Kensington Publishing Corporation
0440237025,Journey,Danielle Steel,2001,Dell Publishing Company
0446603600,Puerto Vallarta Squeeze,Robert James Waller,1996,Warner Books
0312306326,Visions of Sugar Plums,Janet Evanovich,2002,St. Martin's Press
0061031550,Triggerfish Twist,Tim Dorsey,2003,HarperTorch
0451169522,Misery,Stephen King,2004,Penguin USA (Paper)
0805054081,The Book of Illusions: A Novel,Paul Auster,2002,Henry Holt and Co.
0060927216,Paula,Isabel Allende,1996,Perennial
0374172897,The Hours : A Novel,Michael Cunningham,1998,"Farrar, Straus and Giroux"
0394800389,Fox in Socks (I Can Read It All by Myself Beginner Books),Dr. Seuss,1965,Random House Children's Books
1853261580,The Little Prince (Wordsworth Collection),Antoine de Saint-Exupéry,1998,NTC/Contemporary Publishing Company
0061093335,"Nora, Nora: A Novel",Anne Rivers Siddons,2001,HarperTorch
1551669021,Like Silk,Mary Lynn Baxter,2002,Mira
0618015841,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,2001,Houghton Mifflin Company
0446602450,Spencerville,Nelson DeMille,1995,Warner Books
0804113831,The Sins of the Wolf (William Monk Novels (Paperback)),Anne Perry,1995,Ballantine Books
0061092193,Men at Arms,Terry Pratchett,1997,HarperTorch
0061031321,Thief of Time,Terry Pratchett,2002,HarperTorch
0446359750,Devices and Desires,Phyllis White,1991,Warner Books
0440208513,The Evening News,Arthur Hailey,1991,Dell
0061054895,Soul Music (Discworld Novels (Paperback)),Terry Pratchett,1995,HarperTorch
0688177867,The Book Borrower: A Novel,Alice Mattison,2000,Perennial
0767916069,Under the Tuscan Sun : At Home in Italy,FRANCES MAYES,2003,Broadway
0140179836,The Liar's Club: A Memoir,Mary Karr,1998,Penguin USA (Paper)
0553580906,Claws and Effect,RITA MAE BROWN,2002,Bantam
044022103X,One True Thing,Anna Quindlen,1995,Dell
0553581554,The Killing Game: Only One Can Win...and the Loser Dies,Iris Johansen,2000,Bantam Books
0373834349,Mail-Order Marriages (Harlequin Promo),Debbie Macomber,2000,Harlequin
0451179803,Spandau Phoenix,Greg Iles,1994,Signet Book
0451203593,24 Hours,Greg Iles,2001,Signet Book
0764223305,The Covenant (Abram's Daughters),Beverly Lewis,2002,Bethany House Publishers
0451207505,Trapped,Greg Iles,2002,Signet Book
0812507436,"People of the River (The First North Americans series, Book 4)",W. Michael Gear,1993,Tor Books
2290045764,Extension Du Domain De La Lutte,Michel Houellebecq,2002,European Book Co
0451180232,Nightmares &amp; Dreamscapes,Stephen King,2004,Signet Book
0671625837,The Long Dark Tea-Time of the Soul,Douglas Adams,1989,Simon &amp; Schuster
0517693119,More Than Complete Hitchhiker's Guide,Douglas Adams,1990,Bonanza Books
0399145702,The Cat Who Robbed a Bank (Cat Who... (Hardcover)),Lilian Jackson Braun,2000,Putnam Publishing Group
0590483447,"The Barking Ghost (Goosebumps, No 32)",R. L. Stine,1995,Apple
0590453688,"Say Cheese and Die! (Goosebumps, No 4)",R. L. Stine,1995,Scholastic
0451137965,Thinner,Stephen King,1985,New Amer Library
0553266578,The Unwanted,John Saul,1987,Bantam Books
0449219550,Longshot,Dick Francis,1994,Fawcett Books
0425128164,The Voice of the Night,Dean R. Koontz,1996,Berkley Publishing Group
0425107469,Watchers,Dean R. Koontz,1996,Berkley Publishing Group
0451162145,Koko,Peter Straub,1995,Signet Book
042510687X,Outbreak,Robin Cook,1991,Berkley Publishing Group
0440198577,When the Wind Blows,John Saul,0,Bantam Doubleday Dell
0553262645,Nathaniel,John Saul,1984,Bantam Books
044018293X,Suffer the Children,John Saul,1986,Dell
0590568817,"Say Cheese and Die-Again! (Goosebumps, No 44)",R. L. Stine,1996,Scholastic
0553573616,My Point...And I Do Have One,ELLEN DEGENERES,1996,Bantam
0515101230,The Cat Who Went Underground,Lilian Jackson Braun,1991,Jove Books
0515129941,The Cat Who Robbed a Bank (Cat Who... (Paperback)),Lilian Jackson Braun,2001,Jove Books
0671039946,Ice (Shooting Stars),V.C. Andrews,2001,Pocket
0671039954,Rose,V.C. Andrews,2001,Pocket
0671039962,Honey,V.C. Andrews,2001,Pocket
0671002031,Temptation,Jude Deveraux,2000,Atria
0786014245,She Loves Me Not,Wendy Corsi Staub,2003,Pinnacle Books
0142000221,Cause Celeb,Helen Fielding,2002,Penguin Books
0140041796,Switch Bitch,Roald Dahl,1989,Penguin Books
052594544X,On Secret Service: A Novel,John Jakes,2000,Dutton Books
0812551478,"Blood of the Fold (Sword of Truth, Book 3)",Terry Goodkind,1997,Tor Fantasy
0765346524,Wizard's First Rule (Sword Of Truth),Terry Goodkind,2003,Tor Books
0345434676,Pegasus in Space,Anne McCaffrey,2001,Del Rey Books
055357339X,"Assassin's Apprentice (The Farseer Trilogy, Book 1)",ROBIN HOBB,1996,Bantam
0553209671,Sophies Choice,William Styron,1982,Bantam Doubleday Dell
0440204208,Blood Shot (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1989,Dell
0312871996,The Light of Other Days,Arthur C. Clarke,2000,St Martins Pr
0006547834,Miss Smillas Feeling for Snow,Peter Hoeg,0,Flamingo
0345410017,Fahrenheit 451,RAY BRADBURY,1996,Ballantine Books
0486270513,Songs of Innocence and Songs of Experience (Dover Thrift Editions),William Blake,1992,Dover Publications
0553274325,Johnny Got His Gun,Dalton Trumbo,1983,Bantam Books
0786861347,Don't Stand Too Close to a Naked Man,Tim Allen,1994,Hyperion Books
0425105334,The Talisman,Stephen King,1991,Berkley Publishing Group
0553580191,Seize the Night,DEAN KOONTZ,1999,Bantam
0440442508,Johnny Tremain (Yearling Newbery),Esther Forbes,1987,Yearling Books
0064400859,Dragonwings : Golden Mountain Chronicles: 1903 (Golden Mountain Chronicles),Laurence Yep,1977,HarperTrophy
0064400565,Stuart Little,E. B. White,1974,HarperTrophy
0439049962,Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Dav Pilkey,1999,Scholastic
0590846280,The Adventures of Captain Underpants: An Epic Novel (Captain Underpants),Dav Pilkey,1997,Little Apple
0345379365,Remember,Barbara Taylor Bradford,1994,Ballantine Books
0375758232,Paris to the Moon,Adam Gopnik,2001,Random House Trade
0451172817,Needful Things,Stephen King,2004,Signet Book
0671886665,A Cry In The Night,Mary Higgins Clark,1993,Pocket
0440487617,A Wind in the Door,Madeleine L'Engle,1974,Yearling Books
0767915062,Bill Bryson's African Diary,BILL BRYSON,2002,Broadway
1583224890,9-11,Noam Chomsky,2001,Seven Stories Press
074322423X,Self Matters : Creating Your Life from the Inside Out,Phillip C. McGraw,2001,Free Press
0312981589,Robert Ludlum's The Cassandra Compact (A Covert-One Novel),Robert Ludlum,2002,St. Martin's Paperbacks
